pl_name,hostname,discoverymethod,default_flag,pl_eqt,pl_insol,pl_eqt_est,pl_orbeccen,st_met,st_teff,st_rad,st_mass
TOI-2096 b,TOI-2096,Transit,1,445.0,9.4,445.0,0.15,-0.03,3300.0,0.235,0.231
TOI-2096 c,TOI-2096,Transit,1,349.0,3.7,349.0,0.1,-0.03,3300.0,0.235,0.231
TOI-2107 b,TOI-2107,Transit,1,1397.0,,1397.0,0.033,0.07,5627.0,0.932,0.961
TOI-2109 b,TOI-2109,Transit,1,3646.0,,3646.0,,0.068,6540.0,1.698,1.453
TOI-2120 b,TOI-2120,Transit,1,384.0,3.61,384.0,0.32,0.39,3131.0,0.245,0.211
TOI-2128 b,TOI-2128,Transit,1,780.53,,780.53,0.0,-0.07,5968.0,1.1174,1.0251
TOI-2134 b,TOI-2134,Transit,1,666.0,32.0,666.0,0.06,0.12,4580.0,0.709,0.744
TOI-2134 c,TOI-2134,Transit,1,306.0,1.4,306.0,0.67,0.12,4580.0,0.709,0.744
TOI-2136 b,TOI-2136,Transit,1,395.0,4.0,395.0,0.0,0.03,3342.0,0.34,0.34
TOI-2141 b,TOI-2141,Transit,1,722.0,,722.0,0.21,-0.12,5659.0,0.98,0.94
TOI-2145 b,TOI-2145,Transit,1,1363.43,,1363.43,0.21,0.285,6200.0,2.7505,1.7169
TOI-2152 A b,TOI-2152,Transit,1,1802.0,,1802.0,0.057,0.282,6630.0,1.612,1.516
TOI-2154 b,TOI-2154,Transit,1,1580.0,,1580.0,0.117,0.011,6280.0,1.396,1.233
TOI-2158 b,TOI-2158,Transit,1,1188.0,,1188.0,0.07,0.47,5673.0,1.41,1.12
TOI-2169 A b,TOI-2169 A,Transit,1,1364.0,577.0,1364.0,0.045,0.123,6270.0,1.82,1.42
TOI-2180 b,TOI-2180,Transit,1,348.0,2.71,348.0,0.3683,0.253,5695.0,1.636,1.111
TOI-2184 b,TOI-2184,Transit,1,,1429.0,1712.3134054006857,0.08,0.14,5966.0,2.9,1.53
TOI-2193 A b,TOI-2193 A,Transit,1,1763.0,1600.0,1763.0,0.0,0.027,5966.0,1.248,1.082
TOI-2194 b,TOI-2194,Transit,1,590.88,,590.88,,-0.372,4756.0,0.6909,0.74
TOI-2196 b,TOI-2196,Transit,1,1860.0,2000.0,1860.0,0.0,0.14,5634.0,1.043,1.032
TOI-220 b,TOI-220,Transit,1,805.0,,805.0,0.032,-0.217,5298.0,0.858,0.825
TOI-2207 b,TOI-2207,Transit,1,1259.0,406.0,1259.0,0.174,0.181,6101.0,1.564,1.296
TOI-2211.01,TOI-2211,Transit,1,,296.13,1155.3027341972643,,,5253.0,0.834,0.9
TOI-2236 b,TOI-2236,Transit,1,1688.0,1356.0,1688.0,0.0,0.119,6248.0,1.573,1.343
TOI-2257 b,TOI-2257,Transit,1,256.0,,256.0,0.496,-0.27,3430.0,0.313,0.328
TOI-2260 b,TOI-2260,Transit,1,2609.0,,2609.0,,0.22,5534.0,0.94,0.99
TOI-2266 b,TOI-2266,Transit,1,550.0,13.0,550.0,,,3200.0,0.24,0.23
TOI-2274 b,TOI-2274,Transit,1,771.46,,771.46,,,3943.0,0.631,0.612
TOI-2285 b,TOI-2285,Transit,1,358.0,3.91,358.0,,-0.05,3491.0,0.464,0.454
TOI-2295 b,TOI-2295,Transit,1,747.0,,747.0,0.334,0.316,5730.0,1.459,1.168
TOI-2295 c,TOI-2295,Radial Velocity,1,234.9,,234.9,0.194,0.316,5730.0,1.459,1.168
TOI-2328 b,TOI-2328,Transit,1,842.0,,842.0,0.057,0.09,5525.0,0.9,0.95
TOI-2338 b,TOI-2338,Transit,1,799.0,,799.0,0.676,0.22,5581.0,1.05,0.99
TOI-2346 b,TOI-2346,Transit,1,1689.0,1360.0,1689.0,0.086,-0.03,6480.0,1.38,1.271
TOI-2364 b,TOI-2364,Transit,1,1091.0,237.0,1091.0,0.0,0.344,5306.0,0.886,0.954
TOI-2368 b,TOI-2368,Transit,1,1000.0,,1000.0,0.061,0.1,5360.0,0.846,0.897
TOI-237 b,TOI-237,Transit,1,388.0,3.7,388.0,0.0,,3212.0,0.211,0.179
TOI-2373 b,TOI-2373,Transit,1,860.0,,860.0,0.112,0.3,5651.0,1.102,1.041
TOI-2374 b,TOI-2374,Transit,1,885.0,,885.0,0.13,0.15,4802.0,0.69,0.75
TOI-2379 b,TOI-2379,Transit,1,624.0,25.3,624.0,0.342,0.501,3707.0,0.622,0.645
TOI-238 b,TOI-238,Transit,1,1456.61,747.65,1456.61,,-0.05,5080.0,0.75,0.788
TOI-238 c,TOI-238,Radial Velocity,1,696.0,58.3,696.0,0.36,-0.114,5059.0,0.733,0.79
TOI-2382 b,TOI-2382,Transit,1,1426.0,689.0,1426.0,0.18,0.249,6033.0,1.417,1.26
TOI-2384 b,TOI-2384,Transit,1,889.7,104.3,889.7,0.0,0.332,3943.0,0.6113,0.635
TOI-2406 b,TOI-2406,Transit,1,449.0,6.69,449.0,0.17,-0.26,3100.0,0.204,0.166
TOI-2407 b,TOI-2407,Transit,1,705.0,41.0,705.0,0.08,0.21,3530.0,0.567,0.548
TOI-2411 b,TOI-2411,Transit,1,1355.0,,1355.0,,,4099.0,0.68,0.65
TOI-2416 b,TOI-2416,Transit,1,1080.0,,1080.0,0.32,0.32,5808.0,1.236,1.118
TOI-2420 b,TOI-2420,Transit,1,1571.6,1017.0,1571.6,0.055,,,2.369,1.158
TOI-2421 b,TOI-2421,Transit,1,1534.0,923.6,1534.0,0.0,0.19,5607.0,1.75,1.131
TOI-2427 b,TOI-2427,Transit,1,1117.0,,1117.0,,,4072.0,0.65,0.64
TOI-244 b,TOI-244,Transit,1,458.0,7.3,458.0,,-0.39,3433.0,0.426,0.428
TOI-2443 b,TOI-2443,Transit,1,519.0,,519.0,0.301,-0.29,4375.0,0.631,0.642
TOI-2445 b,TOI-2445,Transit,1,1060.0,,1060.0,,,3333.0,0.27,0.25
TOI-2447 b,TOI-2447,Transit,1,414.0,,414.0,0.17,0.18,5730.0,1.006,1.034
