"pl_name","pl_eqt","v_esc_kms","density_gcc","WRS"
"KOI-3503 b",785,31.14,30.1,0.0958
"WASP-69 b",971,30.4,0.32,0.0955
"K2-98 b",1185,29.02,1.44,0.0942
"NGTS-12 b",1257,26.57,0.22,0.0939
"TOI-2498 b",1443,26.77,0.86,0.0934
"WASP-105 b",900,81.66,2.53,0.0931
"TOI-3261 b",1722,31.54,3,0.0928
"TOI-6628 b",833,51.82,0.98,0.0926
"HATS-77 b",828.3,64.77,1.08,0.0923
"TOI-2384 b",889.7,82.6,2.27,0.0917
"HATS-48 A b",954.6,32.87,0.59,0.0911
"HAT-P-19 b",981.2,31.26,0.34,0.0911
